Year,League,Country,Country_Rank,Team,Player,Pay
2025,K리그1,내국인,1,전북,이승우,15.9
2025,K리그1,내국인,2,울산,김영권,14.8
2025,K리그1,내국인,3,울산,조현우,14.6
2025,K리그1,내국인,4,전북,박진섭,12.3
2025,K리그1,내국인,5,대전,주민규,11.2
2025,K리그1,외국인,1,대구,세징야,21.0
2025,K리그1,외국인,2,서울,린가드,19.5
2025,K리그1,외국인,3,인천,제르소,15.4
2025,K리그1,외국인,4,인천,무고사,15.4
2025,K리그1,외국인,5,전북,콤파뇨,13.4
2024,K리그1,내국인,1,울산,조현우,14.9
2024,K리그1,내국인,2,울산,김영권,14.5
2024,K리그1,내국인,3,전북,김진수,13.7
2024,K리그1,내국인,4,전북,이승우,13.5
2024,K리그1,내국인,5,전북,박진섭,11.7
2024,K리그1,외국인,1,서울,린가드,18.2
2024,K리그1,외국인,2,대구,세징야,17.3
2024,K리그1,외국인,3,인천,무고사,15.4
2024,K리그1,외국인,4,인천,제르소,14.4
2024,K리그1,외국인,5,서울,일류첸코,14.3
2023,K리그1,내국인,1,울산,김영권,15.3
2023,K리그1,내국인,2,전북,김진수,14.2
2023,K리그1,내국인,3,울산,조현우,13.0
2023,K리그1,내국인,4,전북,홍정호,11.7
2023,K리그1,내국인,5,수원FC,이승우,11.1
2023,K리그1,외국인,1,대구,세징야,15.5
2023,K리그1,외국인,2,울산,바코,15.2
2023,K리그1,외국인,3,전북,구스타보,14.6
2023,K리그1,외국인,4,인천,제르소,14.1
2023,K리그1,외국인,5,인천,음포쿠,13.2
2022,K리그1,내국인,1,전북,김진수,14.7
2022,K리그1,내국인,2,울산,김영권,13.9
2022,K리그1,내국인,3,전북,김보경,13.4
2022,K리그1,내국인,4,울산,이청용,13.2
2022,K리그1,내국인,5,울산,조현우,13.2
2022,K리그1,외국인,1,제주,제르소,17.0
2022,K리그1,외국인,2,대구,세징야,16.0
2022,K리그1,외국인,3,전북,구스타보,14.8
2022,K리그1,외국인,4,울산,바코,14.7
2022,K리그1,외국인,5,울산,레오나르도,12.3
2021,K리그1,내국인,1,전북,김보경,13.0
2021,K리그1,내국인,2,울산,이청용,12.9
2021,K리그1,내국인,3,전북,홍정호,12.6
2021,K리그1,내국인,4,울산,조현우,12.4
2021,K리그1,내국인,5,울산,윤빛가람,10.6
2021,K리그1,외국인,1,대구,세징야,14.9
2021,K리그1,외국인,2,제주,제르소,13.3
2021,K리그1,외국인,3,전북,구스타보,11.7
2021,K리그1,외국인,4,울산,바코,11.4
2021,K리그1,외국인,5,전북,일류첸코,11.0
2020,K리그1,내국인,1,전북,김보경,13.6
2020,K리그1,내국인,2,전북,홍정호,12.6
2020,K리그1,내국인,3,울산,이청용,12.6
2020,K리그1,내국인,4,울산,조현우,11.0
2020,K리그1,내국인,5,울산,윤빛가람,10.7
2020,K리그1,외국인,1,대구,세징야,14.4
2020,K리그1,외국인,2,울산,주니오,11.1
2020,K리그1,외국인,3,대전,안드레,10.8
2020,K리그1,외국인,4,인천,무고사,10.3
2020,K리그1,외국인,5,서울,오스마르,9.9
2019,K리그1,내국인,1,전북,김진수,14.4
2019,K리그1,내국인,2,전북,신형민,10.5
2019,K리그1,내국인,3,전북,이동국,10.1
2019,K리그1,내국인,4,전북,홍정호,8.7
2019,K리그1,내국인,5,전북,최철순,8.2
2019,K리그1,외국인,1,전북,로페즈,16.5
2019,K리그1,외국인,2,서울,페시치,15.3
2019,K리그1,외국인,3,울산,주니오,10.8
2019,K리그1,외국인,4,경남,룩,9.8
2019,K리그1,외국인,5,서울,오스마르,9.4
2018,K리그1,내국인,1,전북,김신욱,16.6
2018,K리그1,내국인,2,전북,김진수,12.4
2018,K리그1,내국인,3,전북,신형민,10.8
2018,K리그1,내국인,4,전북,이동국,10.2
2018,K리그1,내국인,5,전북,홍정호,9.6
2018,K리그1,외국인,1,전북,로페즈,12.8
2018,K리그1,외국인,2,전북,티아고,12.5
2018,K리그1,외국인,3,전북,아드리아노,12.2
2018,K리그1,외국인,4,수원,데얀,9.5
2018,K리그1,외국인,5,울산,주니오,8.6
2017,K리그1,내국인,1,전북,김신욱,15.4
2017,K리그1,내국인,2,전북,김진수,14.6
2017,K리그1,내국인,3,전북,신형민,11.1
2017,K리그1,내국인,4,전북,이동국,9.9
2017,K리그1,내국인,5,전북,이재성,8.4
2017,K리그1,외국인,1,전북,에두,14.2
2017,K리그1,외국인,2,서울,데얀,13.5
2017,K리그1,외국인,3,전북,로페즈,10.1
2017,K리그1,외국인,4,수원,산토스,8.3
2017,K리그1,외국인,5,수원,조나탄,7.0
2016,K리그1,내국인,1,전북,김신욱,14.7
2016,K리그1,내국인,2,전북,김보경,10.0
2016,K리그1,내국인,3,전북,이동국,8.7
2016,K리그1,내국인,4,제주,이근호,8.6
2016,K리그1,내국인,5,수원,염기훈,7.4
2016,K리그1,외국인,1,전북,레오나르도,17.0
2016,K리그1,외국인,2,서울,데얀,14.0
2016,K리그1,외국인,3,전북,에두,10.2
2016,K리그1,외국인,4,전북,로페즈,9.0
2016,K리그1,외국인,5,수원,산토스,8.5
2015,K리그1,내국인,1,전북,이동국,11.1
2015,K리그1,내국인,2,울산,김신욱,10.5
2015,K리그1,내국인,3,수원,정성룡,7.6
2015,K리그1,내국인,4,포항,신화용,6.6
2015,K리그1,내국인,5,전북,최철순,6.4
2015,K리그1,외국인,1,전북,레오나르도,13.0
2015,K리그1,외국인,2,서울,몰리나,12.6
2015,K리그1,외국인,3,울산,제파로프,10.5
2015,K리그1,외국인,4,전남,스테보,7.5
2015,K리그1,외국인,5,수원,산토스,7.3
